iter	Passed	Remaining
0	836	82799
1	1724	84520
2	2505	81022
3	3389	81358
4	4200	79816
5	5093	79796
6	5942	78946
7	6837	78630
8	7703	77889
9	8580	77223
10	9429	76290
11	10262	75258
12	11229	75150
13	12165	74730
14	13000	73671
15	13846	72695
16	14595	71261
17	15491	70570
18	16379	69829
19	17325	69300
20	18247	68646
21	19113	67765
22	19942	66765
23	20746	65696
24	21610	64832
25	22503	64047
26	23309	63022
27	24187	62196
28	25025	61268
29	25897	60427
30	26656	59331
31	27419	58265
32	28242	57340
33	29112	56511
34	29930	55585
35	30811	54775
36	31649	53890
37	32482	52997
38	33364	52185
39	34291	51436
40	35263	50744
41	36107	49862
42	36941	48969
43	37696	47977
44	38488	47041
45	39285	46117
46	40099	45218
47	40919	44329
48	41750	43455
49	42606	42606
50	43430	41727
51	44294	40887
52	45127	40018
53	45970	39160
54	46755	38254
55	47545	37357
56	48433	36537
57	49350	35736
58	50175	34867
59	51045	34030
60	51892	33176
61	52748	32329
62	53568	31460
63	54443	30624
64	55341	29799
65	56155	28928
66	57009	28079
67	57769	27185
68	58600	26327
69	59553	25522
70	60609	24756
71	61381	23870
72	62167	22993
73	62946	22116
74	63927	21309
75	64859	20481
76	65734	19635
77	66568	18775
78	67392	17914
79	68250	17062
80	69112	16211
81	69954	15355
82	70721	14485
83	71544	13627
84	72405	12777
85	73202	11916
86	74008	11058
87	74881	10211
88	75694	9355
89	76513	8501
90	77327	7647
91	78170	6797
92	79018	5947
93	79816	5094
94	80658	4245
95	81499	3395
96	82336	2546
97	83122	1696
98	83892	847
99	84668	0
